group,period_end,value
Oregon,7/21/20,50.2
Pennsylvania,7/21/20,31.8
Rhode Island,7/21/20,44.5
South Carolina,7/21/20,42.3
South Dakota,7/21/20,35.4
Tennessee,7/21/20,43.6
Texas,7/21/20,44.3
Utah,7/21/20,37.8
Vermont,7/21/20,33.2
Virginia,7/21/20,38.3
Washington,7/21/20,43.8
West Virginia,7/21/20,37
Wisconsin,7/21/20,33.3
Wyoming,7/21/20,41.3
Alabama,8/31/20,37.2
Alaska,8/31/20,34.8
Arizona,8/31/20,35.1
Arkansas,8/31/20,35.3
California,8/31/20,38
Colorado,8/31/20,37.6
Connecticut,8/31/20,38.8
Delaware,8/31/20,30.5
District of Columbia,8/31/20,35.3
Florida,8/31/20,39.4
Georgia,8/31/20,38.7
Hawaii,8/31/20,40
Idaho,8/31/20,32.6
Illinois,8/31/20,38.2
Indiana,8/31/20,38.2
Iowa,8/31/20,33.2
Kansas,8/31/20,35.9
Kentucky,8/31/20,38.7
Louisiana,8/31/20,39.7
Maine,8/31/20,39.3
Maryland,8/31/20,34.1
Massachusetts,8/31/20,35.8
Michigan,8/31/20,36.7
Minnesota,8/31/20,31.8
Mississippi,8/31/20,33.2
Missouri,8/31/20,33.5
Montana,8/31/20,30.7
Nebraska,8/31/20,32
Nevada,8/31/20,40.4
New Hampshire,8/31/20,31.5
New Jersey,8/31/20,37.8
New Mexico,8/31/20,38.9
New York,8/31/20,34.4
North Carolina,8/31/20,32.3
North Dakota,8/31/20,29.6
Ohio,8/31/20,37.3
Oklahoma,8/31/20,38.6
Oregon,8/31/20,38.4
Pennsylvania,8/31/20,35.7
Rhode Island,8/31/20,34.2
South Carolina,8/31/20,30.4
South Dakota,8/31/20,24.2
Tennessee,8/31/20,38.4
Texas,8/31/20,37.1
Utah,8/31/20,34.4
Vermont,8/31/20,32
Virginia,8/31/20,35.2
Washington,8/31/20,37.2
West Virginia,8/31/20,34.5
Wisconsin,8/31/20,29.1
Wyoming,8/31/20,35.6
Alabama,9/14/20,38.1
Alaska,9/14/20,33.6
Arizona,9/14/20,39
Arkansas,9/14/20,41.1
California,9/14/20,39.1
Colorado,9/14/20,36.7
Connecticut,9/14/20,36.1
Delaware,9/14/20,33.3
District of Columbia,9/14/20,36.3
Florida,9/14/20,36.4
Georgia,9/14/20,34.3
Hawaii,9/14/20,39.4
Idaho,9/14/20,35.3
Illinois,9/14/20,37.6
Indiana,9/14/20,33.1
Iowa,9/14/20,32
Kansas,9/14/20,32.5
Kentucky,9/14/20,40.3
Louisiana,9/14/20,41.7
Maine,9/14/20,33.7
Maryland,9/14/20,35.4
Massachusetts,9/14/20,32.7
Michigan,9/14/20,36.2
Minnesota,9/14/20,30.6
Mississippi,9/14/20,38.6
Missouri,9/14/20,33.1
Montana,9/14/20,33.1
Nebraska,9/14/20,30.4
Nevada,9/14/20,37.6
New Hampshire,9/14/20,34.9
New Jersey,9/14/20,35.4
New Mexico,9/14/20,40.2
New York,9/14/20,37.7
North Carolina,9/14/20,32.2
North Dakota,9/14/20,26.3
Ohio,9/14/20,36.4
Oklahoma,9/14/20,38.4
Oregon,9/14/20,40.9
Pennsylvania,9/14/20,34.7
Rhode Island,9/14/20,34.9
South Carolina,9/14/20,31.6
South Dakota,9/14/20,29.9
Tennessee,9/14/20,32.4
Texas,9/14/20,38.2
Utah,9/14/20,33.3
Vermont,9/14/20,34.5
Virginia,9/14/20,33.3
Washington,9/14/20,35.4
West Virginia,9/14/20,38.4
Wisconsin,9/14/20,31.3
Wyoming,9/14/20,33.6
Alabama,9/28/20,37.2
Alaska,9/28/20,35.5
Arizona,9/28/20,39.3
Arkansas,9/28/20,31.6
California,9/28/20,42.3
Colorado,9/28/20,37.7
Connecticut,9/28/20,33.5
Delaware,9/28/20,28
District of Columbia,9/28/20,46.4
Florida,9/28/20,36.4
