group,period_end,value
Nebraska,7/7/20,23.6
Nevada,7/7/20,34.6
New Hampshire,7/7/20,19.7
New Jersey,7/7/20,25.9
New Mexico,7/7/20,32.5
New York,7/7/20,28.5
North Carolina,7/7/20,28.3
North Dakota,7/7/20,23
Ohio,7/7/20,25.6
Oklahoma,7/7/20,29.4
Oregon,7/7/20,29.9
Pennsylvania,7/7/20,26
Rhode Island,7/7/20,22.8
South Carolina,7/7/20,29.3
South Dakota,7/7/20,26.7
Tennessee,7/7/20,31.7
Texas,7/7/20,30.5
Utah,7/7/20,25
Vermont,7/7/20,22.2
Virginia,7/7/20,29.5
Washington,7/7/20,27.8
West Virginia,7/7/20,24.2
Wisconsin,7/7/20,24.6
Wyoming,7/7/20,26.5
Alabama,7/14/20,30.4
Alaska,7/14/20,27.4
Arizona,7/14/20,33.9
Arkansas,7/14/20,34.8
California,7/14/20,31.8
Colorado,7/14/20,26.1
Connecticut,7/14/20,26.7
Delaware,7/14/20,23.3
District of Columbia,7/14/20,20.8
Florida,7/14/20,31.7
Georgia,7/14/20,29
Hawaii,7/14/20,28.3
Idaho,7/14/20,27.5
Illinois,7/14/20,23.7
Indiana,7/14/20,29.4
Iowa,7/14/20,17.7
Kansas,7/14/20,24.8
Kentucky,7/14/20,30.7
Louisiana,7/14/20,31.1
Maine,7/14/20,22.4
Maryland,7/14/20,22.2
Massachusetts,7/14/20,23.8
Michigan,7/14/20,23
Minnesota,7/14/20,22
Mississippi,7/14/20,36.1
Missouri,7/14/20,25.8
Montana,7/14/20,28.5
Nebraska,7/14/20,26.4
Nevada,7/14/20,33.3
New Hampshire,7/14/20,28.7
New Jersey,7/14/20,28.7
New Mexico,7/14/20,30.1
New York,7/14/20,25
North Carolina,7/14/20,26.4
North Dakota,7/14/20,25.2
Ohio,7/14/20,21.2
Oklahoma,7/14/20,30.8
Oregon,7/14/20,31.7
Pennsylvania,7/14/20,27.5
Rhode Island,7/14/20,31.1
South Carolina,7/14/20,25.3
South Dakota,7/14/20,24.1
Tennessee,7/14/20,31.4
Texas,7/14/20,32.2
Utah,7/14/20,24.2
Vermont,7/14/20,20.7
Virginia,7/14/20,24
Washington,7/14/20,27.2
