group,period_end,value
Arizona,9/28/20,34.9
Arkansas,9/28/20,28.7
California,9/28/20,37.2
Colorado,9/28/20,34.2
Connecticut,9/28/20,30.4
Delaware,9/28/20,24.8
District of Columbia,9/28/20,40.2
Florida,9/28/20,32.8
Georgia,9/28/20,32
Hawaii,9/28/20,28.7
Idaho,9/28/20,29.3
Illinois,9/28/20,30.8
Indiana,9/28/20,31.8
Iowa,9/28/20,27.5
Kansas,9/28/20,30.6
Kentucky,9/28/20,32.4
Louisiana,9/28/20,38.5
Maine,9/28/20,31.5
Maryland,9/28/20,30.6
Massachusetts,9/28/20,32.2
Michigan,9/28/20,28.6
Minnesota,9/28/20,26.9
Mississippi,9/28/20,35
Missouri,9/28/20,29.9
Montana,9/28/20,33.1
Nebraska,9/28/20,27.6
Nevada,9/28/20,35.6
New Hampshire,9/28/20,29.4
New Jersey,9/28/20,34.9
New Mexico,9/28/20,38
New York,9/28/20,32.3
North Carolina,9/28/20,28.7
North Dakota,9/28/20,23.2
Ohio,9/28/20,32.3
Oklahoma,9/28/20,29.2
Oregon,9/28/20,41.1
Pennsylvania,9/28/20,30.7
Rhode Island,9/28/20,33.4
South Carolina,9/28/20,31.8
South Dakota,9/28/20,22.5
Tennessee,9/28/20,30.5
Texas,9/28/20,33.2
Utah,9/28/20,33.9
Vermont,9/28/20,33
Virginia,9/28/20,31.1
Washington,9/28/20,34.6
West Virginia,9/28/20,36.4
Wisconsin,9/28/20,28.4
Wyoming,9/28/20,29.1
Alabama,10/12/20,29.4
Alaska,10/12/20,32.6
Arizona,10/12/20,31.7
Arkansas,10/12/20,35.4
California,10/12/20,36.2
Colorado,10/12/20,32.8
Connecticut,10/12/20,28.4
Delaware,10/12/20,32.8
District of Columbia,10/12/20,34.8
Florida,10/12/20,31.7
Georgia,10/12/20,29
Hawaii,10/12/20,30.6
Idaho,10/12/20,29.4
Illinois,10/12/20,32.2
Indiana,10/12/20,30.1
Iowa,10/12/20,26.8
Kansas,10/12/20,32.3
Kentucky,10/12/20,37.8
Louisiana,10/12/20,36.9
Maine,10/12/20,33.2
Maryland,10/12/20,30.6
Massachusetts,10/12/20,34.2
Michigan,10/12/20,32.9
Minnesota,10/12/20,26.2
Mississippi,10/12/20,30.6
Missouri,10/12/20,30.7
Montana,10/12/20,27.8
Nebraska,10/12/20,28.7
Nevada,10/12/20,39.3
New Hampshire,10/12/20,27.3
New Jersey,10/12/20,34.7
New Mexico,10/12/20,33.9
New York,10/12/20,30.7
North Carolina,10/12/20,29.7
North Dakota,10/12/20,24.7
Ohio,10/12/20,33.6
Oklahoma,10/12/20,33.9
Oregon,10/12/20,35.1
Pennsylvania,10/12/20,32.6
Rhode Island,10/12/20,29.5
South Carolina,10/12/20,28.3
South Dakota,10/12/20,26.9
Tennessee,10/12/20,30.7
Texas,10/12/20,33.2
Utah,10/12/20,31.1
Vermont,10/12/20,36.9
Virginia,10/12/20,28.7
Washington,10/12/20,34.5
West Virginia,10/12/20,37.1
Wisconsin,10/12/20,30.7
Wyoming,10/12/20,27
Alabama,10/26/20,29.9
Alaska,10/26/20,33
Arizona,10/26/20,35.1
Arkansas,10/26/20,32
California,10/26/20,35.3
Colorado,10/26/20,34.1
Connecticut,10/26/20,32.5
Delaware,10/26/20,31.7
District of Columbia,10/26/20,35.1
Florida,10/26/20,30.3
Georgia,10/26/20,33.2
Hawaii,10/26/20,32.2
Idaho,10/26/20,31.2
Illinois,10/26/20,30.5
Indiana,10/26/20,35.3
Iowa,10/26/20,29.9
Kansas,10/26/20,34.8
Kentucky,10/26/20,35.3
Louisiana,10/26/20,33.6
Maine,10/26/20,32.5
Maryland,10/26/20,33
Massachusetts,10/26/20,33.8
Michigan,10/26/20,31.3
Minnesota,10/26/20,25.9
Mississippi,10/26/20,35.9
Missouri,10/26/20,35.2
Montana,10/26/20,29.4
Nebraska,10/26/20,28.6
Nevada,10/26/20,37.1
New Hampshire,10/26/20,26.5
New Jersey,10/26/20,31
New Mexico,10/26/20,39.5
New York,10/26/20,34.3
North Carolina,10/26/20,27
North Dakota,10/26/20,28
Ohio,10/26/20,31.7
Oklahoma,10/26/20,34.8
Oregon,10/26/20,36.6
Pennsylvania,10/26/20,31.6
Rhode Island,10/26/20,35.6
South Carolina,10/26/20,32.8
South Dakota,10/26/20,24.2
Tennessee,10/26/20,32
Texas,10/26/20,34.7
Utah,10/26/20,29.1
Vermont,10/26/20,33.3
Virginia,10/26/20,30
Washington,10/26/20,35.9
West Virginia,10/26/20,31.9
Wisconsin,10/26/20,32.1
Wyoming,10/26/20,28.3
Alabama,11/9/20,35.3
Alaska,11/9/20,32.7
Arizona,11/9/20,35.5
Arkansas,11/9/20,38.8
California,11/9/20,38.2
Colorado,11/9/20,40.5
Connecticut,11/9/20,38.2
Delaware,11/9/20,37.7
District of Columbia,11/9/20,45.6
Florida,11/9/20,38.3
Georgia,11/9/20,39
Hawaii,11/9/20,37
Idaho,11/9/20,35.3
Illinois,11/9/20,36.2
Indiana,11/9/20,35
Iowa,11/9/20,41
