group,period_end,value
Missouri,3/29/21,23.3
Montana,3/29/21,18.7
Nebraska,3/29/21,19.6
Nevada,3/29/21,18.3
New Hampshire,3/29/21,21.9
New Jersey,3/29/21,15.7
New Mexico,3/29/21,18.7
New York,3/29/21,19.4
North Carolina,3/29/21,22.4
North Dakota,3/29/21,21.9
Ohio,3/29/21,23
Oklahoma,3/29/21,28.5
Oregon,3/29/21,22.4
Pennsylvania,3/29/21,21
Rhode Island,3/29/21,23.6
South Carolina,3/29/21,22.7
South Dakota,3/29/21,18.3
Tennessee,3/29/21,25.8
Texas,3/29/21,17.7
Utah,3/29/21,21.1
Vermont,3/29/21,25.4
Virginia,3/29/21,20.9
Washington,3/29/21,23.1
West Virginia,3/29/21,26.8
Wisconsin,3/29/21,22.4
Wyoming,3/29/21,22.9
Alabama,4/26/21,22.1
Alaska,4/26/21,18
Arizona,4/26/21,22.6
Arkansas,4/26/21,21.7
California,4/26/21,19.3
Colorado,4/26/21,21.4
Connecticut,4/26/21,20.7
Delaware,4/26/21,20.1
District of Columbia,4/26/21,19.9
Florida,4/26/21,17.6
Georgia,4/26/21,20.7
Hawaii,4/26/21,14.7
Idaho,4/26/21,18.7
Illinois,4/26/21,19.2
Indiana,4/26/21,26
Iowa,4/26/21,22.9
Kansas,4/26/21,28.3
Kentucky,4/26/21,26.2
Louisiana,4/26/21,19.6
Maine,4/26/21,25.3
Maryland,4/26/21,20.1
Massachusetts,4/26/21,21.9
Michigan,4/26/21,22.6
Minnesota,4/26/21,23.4
Mississippi,4/26/21,18.6
Missouri,4/26/21,26.1
Montana,4/26/21,23.1
Nebraska,4/26/21,20.3
Nevada,4/26/21,20.4
New Hampshire,4/26/21,24.4
New Jersey,4/26/21,15.8
New Mexico,4/26/21,17.3
New York,4/26/21,20.6
North Carolina,4/26/21,25.4
North Dakota,4/26/21,22.4
Ohio,4/26/21,20.8
Oklahoma,4/26/21,20.5
Oregon,4/26/21,23.9
Pennsylvania,4/26/21,23.8
Rhode Island,4/26/21,21.6
South Carolina,4/26/21,21
South Dakota,4/26/21,23.9
Tennessee,4/26/21,24.7
Texas,4/26/21,20.4
Utah,4/26/21,25.1
Vermont,4/26/21,22.1
Virginia,4/26/21,20.9
Washington,4/26/21,20.2
West Virginia,4/26/21,32.3
Wisconsin,4/26/21,19.4
Wyoming,4/26/21,18.8
Alabama,5/10/21,25.9
Alaska,5/10/21,19.9
Arizona,5/10/21,19
Arkansas,5/10/21,27.4
California,5/10/21,16.4
Colorado,5/10/21,21.6
Connecticut,5/10/21,20.1
Delaware,5/10/21,24.7
District of Columbia,5/10/21,20.1
Florida,5/10/21,20.1
Georgia,5/10/21,21.7
Hawaii,5/10/21,15.4
Idaho,5/10/21,23
Illinois,5/10/21,21.5
Indiana,5/10/21,23.9
Iowa,5/10/21,22.7
Kansas,5/10/21,21.8
Kentucky,5/10/21,28.9
Louisiana,5/10/21,27.5
Maine,5/10/21,25.1
Maryland,5/10/21,22.7
Massachusetts,5/10/21,23.1
Michigan,5/10/21,24.2
Minnesota,5/10/21,19
Mississippi,5/10/21,23.9
Missouri,5/10/21,25.6
Montana,5/10/21,22.1
Nebraska,5/10/21,22.7
Nevada,5/10/21,16.4
New Hampshire,5/10/21,24.6
New Jersey,5/10/21,16.5
New Mexico,5/10/21,19.8
New York,5/10/21,18.7
North Carolina,5/10/21,21
North Dakota,5/10/21,23.1
Ohio,5/10/21,24.9
Oklahoma,5/10/21,25.3
Oregon,5/10/21,22.8
Pennsylvania,5/10/21,24.6
Rhode Island,5/10/21,22.5
South Carolina,5/10/21,19.2
South Dakota,5/10/21,22.7
Tennessee,5/10/21,25
Texas,5/10/21,20.4
Utah,5/10/21,21.9
Vermont,5/10/21,23.6
Virginia,5/10/21,22.5
Washington,5/10/21,23.1
West Virginia,5/10/21,29.7
Wisconsin,5/10/21,25.9
Wyoming,5/10/21,16.6
Alabama,5/24/21,22.8
Alaska,5/24/21,17.3
Arizona,5/24/21,19.8
Arkansas,5/24/21,26.6
California,5/24/21,15.6
Colorado,5/24/21,21.2
Connecticut,5/24/21,23.2
Delaware,5/24/21,20.7
District of Columbia,5/24/21,15.5
Florida,5/24/21,18.9
Georgia,5/24/21,19.5
Hawaii,5/24/21,13.3
Idaho,5/24/21,28.1
Illinois,5/24/21,22.1
Indiana,5/24/21,26
Iowa,5/24/21,25.4
Kansas,5/24/21,20.6
Kentucky,5/24/21,29.2
Louisiana,5/24/21,26.9
Maine,5/24/21,24.1
Maryland,5/24/21,21.1
Massachusetts,5/24/21,23.1
Michigan,5/24/21,19.6
Minnesota,5/24/21,25.4
Mississippi,5/24/21,24.7
Missouri,5/24/21,22.5
Montana,5/24/21,16.8
Nebraska,5/24/21,23.1
Nevada,5/24/21,15.4
New Hampshire,5/24/21,21
New Jersey,5/24/21,16.4
New Mexico,5/24/21,20.2
New York,5/24/21,19.6
North Carolina,5/24/21,23.6
North Dakota,5/24/21,19
Ohio,5/24/21,25.2
Oklahoma,5/24/21,27.3
Oregon,5/24/21,24.7
Pennsylvania,5/24/21,28
Rhode Island,5/24/21,24.7
South Carolina,5/24/21,19
South Dakota,5/24/21,18
Tennessee,5/24/21,28.9
Texas,5/24/21,17
Utah,5/24/21,24.3
Vermont,5/24/21,23.2
Virginia,5/24/21,22.6
Washington,5/24/21,19.9
West Virginia,5/24/21,24.2
