group,period_end,value
Montana,3/29/21,9.8
Nebraska,3/29/21,8.4
Nevada,3/29/21,10.3
New Hampshire,3/29/21,13.4
New Jersey,3/29/21,11.3
New Mexico,3/29/21,11
New York,3/29/21,11.7
North Carolina,3/29/21,10.4
North Dakota,3/29/21,5.9
Ohio,3/29/21,11.1
Oklahoma,3/29/21,9
Oregon,3/29/21,13.3
Pennsylvania,3/29/21,9.1
Rhode Island,3/29/21,12.7
South Carolina,3/29/21,5.3
South Dakota,3/29/21,4.9
Tennessee,3/29/21,11
Texas,3/29/21,7.9
Utah,3/29/21,11.1
Vermont,3/29/21,14.2
Virginia,3/29/21,9.8
Washington,3/29/21,10.5
West Virginia,3/29/21,9.1
Wisconsin,3/29/21,8.7
Wyoming,3/29/21,10
Alabama,4/26/21,7.7
Alaska,4/26/21,10.4
Arizona,4/26/21,11.3
Arkansas,4/26/21,5.7
California,4/26/21,10
Colorado,4/26/21,14.1
Connecticut,4/26/21,13
Delaware,4/26/21,9.4
District of Columbia,4/26/21,27.6
Florida,4/26/21,9.5
Georgia,4/26/21,9.5
Hawaii,4/26/21,13.7
Idaho,4/26/21,9.6
Illinois,4/26/21,9.5
Indiana,4/26/21,12
Iowa,4/26/21,8.9
Kansas,4/26/21,9.1
Kentucky,4/26/21,7
Louisiana,4/26/21,9.8
Maine,4/26/21,11.4
Maryland,4/26/21,11.9
Massachusetts,4/26/21,14.3
Michigan,4/26/21,11.7
Minnesota,4/26/21,8.8
Mississippi,4/26/21,5.8
Missouri,4/26/21,10.6
Montana,4/26/21,11
Nebraska,4/26/21,7.4
Nevada,4/26/21,9.5
New Hampshire,4/26/21,9.4
New Jersey,4/26/21,9.7
New Mexico,4/26/21,10.9
New York,4/26/21,11.5
North Carolina,4/26/21,7.2
North Dakota,4/26/21,8.4
Ohio,4/26/21,7.6
Oklahoma,4/26/21,6
Oregon,4/26/21,11.3
Pennsylvania,4/26/21,10.9
Rhode Island,4/26/21,15.4
South Carolina,4/26/21,9
South Dakota,4/26/21,7.9
Tennessee,4/26/21,8.8
Texas,4/26/21,8.2
Utah,4/26/21,10.4
Vermont,4/26/21,9.4
Virginia,4/26/21,7.2
Washington,4/26/21,12.1
