"","region_name","Mean of the Stringency Index","Government_response_mean","containment_health_index","Economic_support_mean","C1_school_closing","C2_workplace_closing","C3_cancel_public_event","C4_restrictions_on_gatherings","C5_close_public_transport","C6_stay_at_home_requirements","C7_movementrestriction","C8_internationaltravel","E1_income_Support","E2_debtrelief","H1_Public_info_campaigns","H2_testing_policy","H3_contact_tracing","H6_facial_coverings","H7_vaccination_policy","H8_protection_of_elderly_people","adults 19-25","adult 26-34","adult 25-34","adults 55-64","Adults Over 65","GDP Growth Rate","Total mean","beforeMean","Anxiety or Depression Diffrenence","Mortality Rate"
"39","Rhode Island",58.9566244725736,61.6612629399588,60.2704651162793,42.0693277310924,1.86708860759494,1.68565400843882,1.31645569620253,2.85443037974684,0,0.989451476793249,1.66666666666667,2.73628691983122,1.4915611814346,1.68143459915612,1.87341772151899,2.51476793248945,1.56118143459916,2.29032258064516,2.11510791366906,2.43340380549683,0.110970996216898,0.16015132408575,0.319041614123581,0.186633039092055,0.224464060529634,0.0409790869527478,57235.8235294118,35.478125,-5.88526785714286,0.00241459007156807
"40","South Carolina",47.9465618448635,50.3694202898551,51.5005462184872,37.9175365344468,1.90775681341719,1.0293501048218,1.0230607966457,2.14465408805031,0.150943396226415,0.861635220125786,0.90146750524109,2.73794549266247,1.08595387840671,0.972746331236897,1.82389937106918,2.20335429769392,1.68343815513627,2.17948717948718,2.77464788732394,2.03361344537815,0.106493506493507,0.150649350649351,0.323376623376623,0.179220779220779,0.238961038961039,0.0407791948578742,48097.2352941177,34.921875,-5.15758928571429,0.00180007132030649
"41","South Dakota",40.0508731808729,40.0755693581781,40.3390208333333,37.2141372141372,1.60498960498961,0.981288981288981,0.935550935550936,0.299376299376299,0,0.756756756756757,0.875259875259875,2.74012474012474,0.864583333333333,0.852390852390852,1.76299376299376,1.8004158004158,0.958419958419958,1.59533898305085,2.27397260273973,1.5625,0.110363391655451,0.154777927321669,0.31628532974428,0.183041722745626,0.234185733512786,0.0606610152283369,58487.3529411765,29.965625,-4.83705357142857,0.00218221271303717
"42","Tennessee",51.2764522821576,48.9720496894409,50.6491891891892,36.4085239085239,1.90663900414938,1.4356846473029,1.4792531120332,2.87136929460581,0.782157676348548,0.906639004149378,0.850622406639004,2.74066390041494,0.883817427385892,0.815352697095436,1.71161825726141,2.52282157676349,0.95850622406639,1.98520084566596,2.46258503401361,1.74012474012474,0.112418300653595,0.162091503267974,0.33202614379085,0.17516339869281,0.218300653594771,0.0429017873322288,50640,36.78125,-3.59553571428572,0.00172813309192123
"43","Texas",48.7949170124481,47.0138302277431,48.4781288981292,35.125260960334,1.97302904564315,1.7344398340249,1.51244813278008,3.16804979253112,0,0.964730290456432,0.95643153526971,2.75103734439834,0.863070539419087,0.838174273858921,1.68879668049793,1.7551867219917,0.95850622406639,2.10570824524313,2.83673469387755,1.97089397089397,0.129120879120879,0.178571428571429,0.358516483516484,0.156593406593407,0.177197802197802,0.0414991057152885,55450.5882352941,38.746875,-5.05401785714286,0.0016810674742871
"44","Utah",43.9902708333334,42.3750310559007,43.3919415448854,43.3212058212058,1.86666666666667,1.01458333333333,1.12083333333333,2.12916666666667,0,0.772916666666667,0.84375,2.73958333333333,0.8625,0.741666666666667,1.75416666666667,1.7875,1.30208333333333,1.76857749469214,2.5448275862069,1.16701461377871,0.157514450867052,0.190751445086705,0.34971098265896,0.13728323699422,0.166184971098266,0.0495856678987121,50816.1176470588,35,-2.64285714285714,0.00064933673408278
"45","Vermont",59.4765560165972,60.6103933747414,59.6768958333332,59.1286307053942,2.00414937759336,1.36721991701245,1.70124481327801,2.98340248962656,0,0.91701244813278,1.70124481327801,2.74066390041494,1.64522821576763,1.42116182572614,1.78838174273859,2.41078838174274,1.71101871101871,2.09322033898305,2.4041095890411,2.18541666666667,0.106832298136646,0.137888198757764,0.306832298136646,0.196273291925466,0.253416149068323,0.0347176035232906,55993.5882352941,34.203125,-4.56741071428571,0.000374810658665199
"46","Virginia",51.8091701244811,49.6390683229814,50.520810810811,66.5280665280665,2.00414937759336,1.05809128630705,1.19294605809129,2.81120331950207,0,1.07053941908714,1.17219917012448,2.74066390041494,1.03112033195021,0.985477178423237,1.70746887966805,2.29460580912863,1.34854771784232,1.72515856236786,2.6734693877551,1.11226611226611,0.109660574412533,0.156657963446475,0.345953002610966,0.176240208877285,0.212793733681462,0.0433741766657738,60917.2352941177,34.525,-4.46071428571429,0.00122400889809701
"47","Washington",55.7314906832301,53.8471014492751,53.0606431535271,41.7619542619543,2.0703933747412,1.6832298136646,1.60455486542443,3.38509316770186,0.830227743271222,1.01449275362319,0.865424430641822,2.74120082815735,1.12008281573499,1.40165631469979,1.72256728778468,1.7991718426501,0.960662525879917,2.05485232067511,2.17567567567568,2.04356846473029,0.109090909090909,0.179220779220779,0.337662337662338,0.167532467532468,0.207792207792208,0.0473679871645885,65859.0588235294,37.515625,-4.83705357142857,0.000695324864371263
"48","West Virginia",50.3521212121213,51.0466666666668,52.0834490238612,41.953125,1.90890269151139,1.16356107660455,1.63419913419913,2.52173913043478,0,0.917748917748918,0.935064935064935,2.72943722943723,1.00828157349896,0.751552795031056,1.74327122153209,1.92132505175983,1.71428571428571,1.78481012658228,3.07432432432432,2.350622406639,0.102791878172589,0.133248730964467,0.318527918781726,0.185279187817259,0.260152284263959,0.0438661339642445,44348.5294117647,38.975,-3.79642857142857,0.00156011753258869
"49","Wisconsin",50.4375311203321,49.370745341615,50.4087110187109,39.5746887966805,2.03941908713693,1.07053941908714,0.991701244813278,3.32780082987552,0.840248962655602,0.939834024896266,0.852697095435685,2.74066390041494,1.11618257261411,0.977178423236514,1.81120331950207,2.47302904564315,1.5103734439834,2.04651162790698,2.20408163265306,1.06444906444906,0.11038961038961,0.150649350649351,0.325974025974026,0.185714285714286,0.227272727272727,0.0406208922143745,54481.0588235294,31.29375,-4.40089285714286,0.00125805174664675
"50","Wyoming",54.1070746887965,50.7056728778468,51.9748440748442,41.953125,1.70954356846473,0.977178423236514,1.13070539419087,2.40248962655602,1.58091286307054,0.773858921161826,0.844398340248963,2.74066390041494,0.862785862785863,1.01455301455301,1.8195020746888,2.13070539419087,1.30497925311203,1.54545454545455,2.62585034013605,1.48440748440748,0.110814419225634,0.156208277703605,0.323097463284379,0.180240320427236,0.229639519359146,0.0253191170135658,62737.6470588235,33.115625,-2.54419642857143,0.00121448589714963
